Downloading data...
Country Name	CMT	FST	SDT	Active CMT
USA	45431167	737589	34997968	9695610
Brazil	21590097	601442	20720496	268159
Russia	7861681	219329	6916086	726266
France	7063511	117150	0	92018
Argentina	5267339	115547	5134604	17188
Colombia	4974400	126692	4817951	29757
Germany	4342178	95183	4116400	130595
Mexico	3732429	282773	3093786	355870
South Africa	2912938	88429	2797443	27066
Ukraine	2578394	59523	2304361	214510
Peru	2185355	199727	0	0
Thailand	1740428	17917	1615343	107168
Czechia	1705532	30518	1662742	12272
Chile	1663992	37574	1617792	8626
Romania	1398264	40461	1199267	158536
Belgium	1269002	25713	1181547	61742
Sweden	1160465	14882	0	18825
Serbia	1024497	8892	890644	124961
Cuba	923966	7928	900697	15341
Switzerland	852658	11157	802995	38506
Jordan	835969	10827	811013	14129
Nepal	803878	11261	778350	14267
UAE	738152	2116	731632	4404
Greece	682394	15210	640590	26594
Lebanon	630950	8394	605104	17452
Belarus	563813	4336	537527	21950
Saudi Arabia	547761	8753	536768	2240
Ecuador	512071	32848	443880	35343
Azerbaijan	494067	6692	474514	12861
Panama	469440	7275	459657	2508
Slovakia	429886	12772	0	18786
Palestine	415938	4279	396969	14690
Ireland	405970	5280	0	39311
Venezuela	385952	4652	365941	15359
Dominican Republic	366711	4072	355023	7616
Lithuania	357801	5308	321637	30856
Libya	348088	4832	274320	68936
Mongolia	330869	1482	300074	29313
Moldova	308724	7076	288915	12733
Slovenia	302654	4618	286382	11654
Armenia	275077	5646	250576	18855
Bosnia and Herzegovina	242469	11046	192218	39205
Zambia	209396	3654	205521	221
Algeria	204790	5859	140392	58539
Norway	194818	884	88952	104982
Kyrgyzstan	179492	2624	174320	2548
Latvia	175890	2836	153180	19874
Estonia	167828	1404	150814	15610
Mozambique	151018	1924	148038	1056
Montenegro	135981	2000	128736	5245
Singapore	132205	183	104856	27166
Ghana	128368	1158	124514	2696
Uganda	124864	3179	96321	25364
Cambodia	115607	2559	109296	3752
Cameroon	95399	1517	80433	13449
Maldives	85732	237	84292	1203
Senegal	73848	1869	71950	29
Malawi	61694	2292	56531	2871
DRC	57247	1087	50930	5230
Guadeloupe	53734	721	2250	50763
Fiji	51535	653	47912	2970
Suriname	44873	974	27017	16882
Madagascar	42898	958	41322	618
French Polynesia	40178	629	33500	6049
Cabo Verde	37920	347	37118	455
Malta	37393	459	36253	681
Guyana	33823	848	29323	3652
Guinea	30535	385	29187	963
Tanzania	26034	724	0	0
Benin	24335	159	23257	919
Haiti	22675	647	19965	2063
Seychelles	21638	118	21242	278
Lesotho	21481	653	11906	8922
Mayotte	20397	180	2964	17253
Burundi	19257	38	773	18446
Curaçao	16837	169	16355	313
Taiwan	16313	846	15322	145
Aruba	15663	170	15327	166
Andorra	15307	130	15113	64
Burkina Faso	14546	200	14028	318
Equatorial Guinea	12786	155	12032	599
Hong Kong	12276	213	11962	101
Saint Lucia	12054	231	11050	773
CAR	11401	100	6859	4442
New Caledonia	9665	225	55	9385
Yemen	9439	1789	5964	1686
Eritrea	6758	43	6673	42
Niger	6122	204	5823	95
Liberia	5801	286	5458	57
Grenada	5653	183	5149	321
San Marino	5470	91	5343	36
New Zealand	4759	28	4184	547
Comoros	4173	147	4008	18
Dominica	4086	27	3732	327
Antigua and Barbuda	3772	93	2713	966
Liechtenstein	3468	60	3389	19
British Virgin Islands	2725	37	2649	39
Saint Kitts and Nevis	2435	20	1431	984
Faeroe Islands	1311	2	1203	106
Greenland	630	0	583	47
Macao	77	0	64	13
Montserrat	41	1	31	9
Western Sahara	10	1	8	1
China	96457	4636	91176	645
